originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,lostEntropy,percentEntropyLoss,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
*%fd]G/G6Z,1,3,1,0,1,0,6,65.54588851677637,GGZfd6*%]/,51.92475240350173,13.621136113274641,20.781068685625232,0,3,2,1,0,0,6,23,16,23,16,15,15,10,5,1,4
)M/a)uN{5/,1,5,0,1,0,-1,6,65.54588851677637,MNau5)/){/,52.661717997667935,12.884170519108435,19.656718080510498,0,5,2,1,0,-1,7,21,15,21,15,15,15,10,4,1,5
kXG1f*S.s9,0,1,2,1,1,0,5,65.54588851677637,XGSkfs19*.,50.92475240350173,14.621136113274641,22.306717391636827,0,0,3,1,0,0,4,21,16,20,14,14,14,10,6,2,2
2gmiu*xw^B,0,1,2,0,0,-1,2,65.54588851677637,Bgmiuxw2*^,54.2466804983891,11.29920801838728,17.238622092208367,0,0,3,0,0,-1,2,19,13,17,12,13,13,10,7,1,2
sL/Q+8;3P5,0,3,0,1,1,0,5,65.54588851677637,LQPs835/+;,51.50971490422289,14.036173612553485,21.41427010934629,0,1,3,1,0,0,5,20,16,20,16,14,14,10,4,3,3
:Ul:.;0YAe,1,3,1,1,0,-2,4,65.54588851677637,UYAle0::.;,51.92475240350173,13.621136113274641,20.781068685625232,0,3,2,1,0,-1,5,17,14,17,14,15,15,10,5,1,4
eJfd(E!B*5,0,3,1,1,0,-1,4,65.54588851677637,JEBefd5(!*,51.50971490422289,14.036173612553485,21.41427010934629,0,1,3,1,0,-1,4,20,15,18,14,16,16,10,6,1,3
$VC|21{__q,1,5,0,1,0,0,7,65.54588851677637,VCq21$|{__,52.661717997667935,12.884170519108435,19.656718080510498,0,5,2,1,0,0,8,19,14,19,14,17,17,10,3,2,5
&Gx<|Kg1dC,1,1,2,1,1,0,6,65.54588851677637,GKCxgd1&<|,51.50971490422289,14.036173612553485,21.41427010934629,0,1,3,1,0,0,5,20,15,20,15,16,16,10,6,1,3
iRyh4]plA2,0,0,3,2,0,-2,3,65.54588851677637,RAiyhpl42],52.661717997667935,12.884170519108435,19.656718080510498,0,0,4,1,0,-1,4,16,14,16,14,12,12,10,7,2,1
2QF?$iAD);,0,3,2,2,0,-1,6,65.54588851677637,QFADi2?$);,52.92475240350173,12.621136113274641,19.25541997961364,0,3,2,1,0,-1,5,19,15,19,15,17,17,10,5,1,4
oeU51HE):],0,1,3,1,1,-1,5,65.54588851677637,UHEoe51):],50.92475240350173,14.621136113274641,22.306717391636827,0,1,3,1,0,-1,4,17,15,17,15,15,15,10,5,2,3
